VNUM	NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SIZE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_FIRE	RESIST_ELECT	RESIST_MAGIC	RESIST_WIND	RESIST_POISON	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE
101	들개	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	20	24	132	3	2	18	27	15	4	110	100	0	2000	150	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	늑대	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	23	28	169	3	2	23	34	39	6	110	100	25	2000	150	30028	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	두목늑대	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	25	30	190	3	2	25	38	51	7	110	130	25	2000	150	30069	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	푸른늑대	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	25	38	235	3	2	30	45	75	9	110	100	25	2000	150	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	푸른 두목늑대	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	311	3	2	37	56	111	13	90	100	25	2000	150	30027	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	회색늑대	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	40	49	431	3	2	47	70	159	17	110	100	25	2000	150	30070	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	회색 두목늑대	S_PAWN	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	643	5	7	80	120	234	20	90	130	25	2000	150	0	0	0	0	0	0	5	0	0	-5	0	0	0	0	0	0	0	0	0	1.26	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	멧돼지	PAWN	MONSTER	MELEE	7			0	ANIMAL		0	wild_boar	0	14	7	10	3	30	37	260	3	2	32	49	87	11	90	100	30	2000	150	30004	0	0	0	0	0	5	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	붉은 멧돼지	S_PAWN	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	408	3	2	56	84	148	14	90	100	30	2000	150	30003	0	0	0	0	0	5	0	0	-5	0	0	0	0	0	0	0	0	0	1.26	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	곰	PAWN	MONSTER	POWER	12			0	ANIMAL		0	bear	0	20	10	20	5	39	47	399	3	2	44	67	147	16	110	70	40	2000	150	30010	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
